t[s],x[m],y[m]
111.211838484,-0.0495086312294,-0.096122302115
111.501259327,-0.0515026971698,-0.144920274615
111.688965559,-0.0515026971698,-0.144920274615
111.993891478,-0.0682669430971,-0.104471758008
112.210384607,-0.087917894125,-0.124045982957
112.488026619,-0.153693109751,-0.107166744769
112.703945398,-0.107584625483,-0.0964208468795
113.003422976,-0.107584625483,-0.0964208468795
113.195488453,-0.0571186989546,-0.1159959957
113.477579832,-0.0527865439653,-0.0526773519814
113.714957952,-0.164864003658,-0.0814079865813
114.021379709,-0.039850037545,-0.0594249032438
114.201412916,-0.039850037545,-0.0594249032438
114.510493517,-0.112408705056,-0.180640727282
114.703452826,-0.16552940011,-0.188147574663
115.002203465,-0.117086477578,-0.288299739361
115.198300838,-0.157587230206,-0.197226673365
115.483099222,-0.157587230206,-0.197226673365
115.685465813,-0.0928891003132,-0.201973110437
116.020940542,-0.0922988951206,-0.297474205494
116.213514805,-0.154306977987,-0.214399904013
116.504671335,-0.193105190992,-0.207828938961
116.699633121,-0.193105190992,-0.207828938961
117.01117301,-0.123703502119,-0.581295609474
117.19341588,-0.138786539435,-0.705018222332
117.490170956,-0.0742468461394,-0.653163135052
117.706555367,-0.0618946440518,-0.208484023809
118.005436182,-0.0618946440518,-0.208484023809
118.197613955,-0.0173610970378,-0.00906225666404
118.49615097,0.0118346121162,0.00323950592428
118.688690424,0.0851350724697,-0.00708120130002
119.002640247,0.0381721742451,0.0340397357941
119.205415726,0.0381721742451,0.0340397357941
119.447180271,0.111838288605,0.0318799950182
119.684647799,0.109830126166,0.0464549139142
119.963561296,0.038475651294,0.0729470774531
120.251772404,0.0100249201059,-0.0874632224441
120.450852633,0.0100249201059,-0.0874632224441
120.700023413,0.0733783766627,0.0293157286942
121.02652359,-0.016266066581,-0.0060349511914
121.230667353,-0.016266066581,-0.0060349511914
121.44509387,-0.0294085554779,-0.0939051434398
121.699889183,-0.0548192597926,0.1023074314
122.00471282,0.0293313600123,-0.0425424948335
122.208551884,-0.00920405890793,-0.118447348475
122.44402051,0.00131006073207,-0.168048590422
122.704082727,-0.0140649909154,-0.122725009918
123.037905216,-0.0140649909154,-0.122725009918
123.204851389,0.00516888918355,-0.0845413133502
123.45041728,0.00516888918355,-0.0845413133502
123.695754528,-0.0429864190519,-0.0601179748774
124.034019709,0.037842463702,-0.055280983448
124.201518536,-0.0425049699843,-0.129269704223
124.449784994,-0.0408467166126,-0.0782045647502
124.700350761,-0.047533608973,-0.166921928525
125.053523779,-0.0831427201629,-0.112731948495
125.206178665,-0.0831427201629,-0.112731948495
125.45105505,-0.0559075959027,-0.0842982679605
125.70371151,-0.0559075959027,-0.0842982679605
126.065246582,-0.0414662025869,-0.205845892429
